Calculation1,School,City,County/State/Country,Measure Names,Measure Values
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enrl GPA,3.921904762
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm GPA,3.7322
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App GPA,3.67
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Enrl GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Adm GPA,4.052222222
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,App GPA,3.943636364
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Enrl GPA,4.057307692
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Adm GPA,3.982857143
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,App GPA,3.679538462
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enrl GPA,3.95225
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm GPA,3.869774436
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App GPA,3.714513274
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,4.130434783
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,3.96
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.800666667
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Enrl GPA,4.07
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Adm GPA,4.026470588
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,App GPA,3.737037037
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Enrl GPA,4.088888889
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Adm GPA,4.05
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,App GPA,3.827428571
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Enrl GPA,4.216666667
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Adm GPA,3.846363636
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,App GPA,3.562222222
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Enrl GPA,4.253333333
