Calculation1,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
21ST CENTURY LEARNING INST54886,21ST CENTURY LEARNING INST,Beaumont,Riverside,App,,,,,,,,,
21ST CENTURY LEARNING INST54886,21ST CENTURY LEARNING INST,Beaumont,Riverside,Adm,,,,,,,,,
21ST CENTURY LEARNING INST54886,21ST CENTURY LEARNING INST,Beaumont,Riverside,Enr,,,,,,,,,
A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App,61,6,,51,,,,,
A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm,54,6,,44,,,,,
A B MILLER HIGH SCHOOL50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enr,30,5,,24,,,,,
ABLE CHARTER54651,ABLE CHARTER,Stockton,San Joaquin,App,14,,,6,,6,,,
ABLE CHARTER54651,ABLE CHARTER,Stockton,San Joaquin,Adm,10,,,5,,4,,,
ABLE CHARTER54651,ABLE CHARTER,Stockton,San Joaquin,Enr,5,,,,,3,,,
ABRAHAM LINCOLN HIGH SCHOOL51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,App,83,,,40,,42,,,
ABRAHAM LINCOLN HIGH SCHOOL51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Adm,64,,,28,,36,,,
ABRAHAM LINCOLN HIGH SCHOOL51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Enr,31,,,10,,21,,,
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,250,5,,20,,203,15,,
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,202,4,,15,,166,11,,
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,147,,,7,,127,8,,
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,114,5,,64,,15,21,5,
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,84,5,,43,,11,17,5,
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enr,42,4,,19,,4,11,4,
ABRAM FRIEDMAN OCC CTR51516,ABRAM FRIEDMAN OCC CTR,Los Angeles,Los Angeles,App,,,,,,,,,
