City,Parks Area,Parks per 1000 People
"Fontana,California",9.99,1.54
"Stockton,California",23.57,5.4
"Los Angeles,California",23.1,1.88
"San Francisco,California",19.88,0.49
"San Jose,California",13.89,1.41
"Apple Valley,California",23.65,20.46
"Carson,California",5.9,0.55
"Thousand Oaks,California",85.54,19.86
"Westlake Village,California",59.19,80.75
"Helendale,California",0,0
"San Fernando,California",10.6,1.31
"Santa Clarita,California",20.68,4.71
"Eureka,California",3.57,0.8
"Lafayette,California",0.32,0.11
"Adelanto,California",1.76,0.41
"Camarillo,California",26.75,5.37
"Santa Clara,California",10.03,1.03
"Riverside,California",6.3,1.7
"Agoura Hills,California",16.88,5.27
"Oakland,California",10.83,0.73
"Alameda,California",6.02,0.57
"Albany,California",15.22,1.54
"Agua Dulce,California",127.43,566.31
"Alhambra,California",7.47,0.58
"Martinez,California",118.26,48.43
"Salinas,California",1.92,0.36
"Aliso Viejo,California",2.1,0.3
"Huntington Park,California",2.62,0.13
"Alta Loma,California",0,0
"Santa Barbara,California",9.51,1.79
"Hesperia,California",4.78,1.56
"Santa Cruz,California",9.69,1.6
"Sutter Creek,California",2.48,1.99
"Pleasanton,California",16.15,4.47
"American Canyon,California",67.4,11.21
"Fremont,California",0.99,0.12
"Anaheim,California",25.58,2.44
"Sebastopol,California",40.05,15.12
"Anderson,California",0,0
"Boonville,California",0,0
"Fairfield,California",8.65,1.58
"Inglewood,California",1.74,0.17
"Venice,California",2.62,0.33
"Morgan Hill,California",20.53,4.30
"Antelope,California",4.54,1.24
"Lancaster,California",12.76,2.52
"Palmdale,California",17.52,3.07
"Antioch,California",6.47,1.65
"San Juan Bautista,California",8.17,5.09
"Montebello,California",7.14,0.83
"Aptos,California",72.61,23.15
"San Mateo,California",3.34,0.51
"Arcadia,California",21.65,3.70
"Arcata,California",54.58,14.79
"San Anselmo,California",9.47,2.72
"El Segundo,California",27.37,4.06
"Jackson,California",0.03,0.02
"Arleta,California",0.00,0.00
"Irvine,California",90.08,10.78
"Arroyo Grande,California",2.02,0.95
"El Monte,California",1.77,0.29
"San Lorenzo,California",15.14,1.78
"San Diego,California",7.16,0.41
"San Bernardino,California",5.25,2.05
"Lakewood,California",5.70,1.24
"Arvin,California",27.22,4.08
"Sacramento,California",43.83,6.97
"East Palo Alto,California",6.61,0.67
"Modesto,California",3.49,1.27
"Atascadero,California",0.00,0.00
"Atwater,California",13.65,4.48
"Avalon,California",3.64,1.48
"Avenal,California",5.08,0.86
"Altadena,California",0.70,0.13
"Azusa,California",13.72,2.02
"Baker,California",62.75,794.32
"Bakersfield,California",0.61,0.33
"Baldwin Park,California",11.81,1.09
"Banning,California",13.53,3.96
"Barstow,California",0.56,0.22
"La Puente,California",6.37,1.92
"Grass Valley,California",8.65,2.73
"Beaumont,California",16.70,5.04
"Bell Gardens,California",16.84,1.70
"Bell,California",3.05,0.20
"Fair Oaks,California",2.45,1.03
"Bellflower,California",22.58,1.62
"Benicia,California",13.30,3.15
"Berkeley,California",7.76,0.52
"Beverly Hills,California",8.66,4.38
"Big Bear City,California",22.37,10.33
"Big Pine,California",175.7,219.08
"Biggs,California",5.52,2.24
"Lake Balboa,California",6.66,1.03
"Bishop,California",39.88,16.2
"Pasadena,California",15.72,1.44
"Bloomington,California",0.00,0.00
"Garden Grove,California",11.77,1.42
"La Verne,California",15.69,3.04
"Chula Vista,California",13.14,1.27
"Borrego Springs,California",37.13,174.30
"Brawley,California",19.00,3.20
"Brea,California",21.53,4.76
"Angels Camp,California",2.73,2.95
"Vacaville,California",3.75,0.95
"Ventura,California",110.15,35.80
"Buena Park,California",6.13,0.99
"Chino,California",12.23,3.48
"Yorba Linda,California",26.35,8.91
"Fresno,California",15.04,4.45
"Burbank,California",1.46,0.11
"Burlingame,California",0.59,0.10
"Burney,California",3.3,2.16
"Ridgecrest,California",64.57,27.26
"San Juan Capistrano,California",6.87,2.56
"Lompoc,California",19.3,2.51
"Calabasas,California",0.00,0.00
"San Andreas,California",2.75,1.92
"Calexico,California",15.07,2.81
"California City,California",62.05,61.25
"Ripon,California",7.83,1.76
"San Ramon,California",0.00,0.00
"Whittier,California",10.79,0.93
"Perris,California",25.88,6.58
"Simi Valley,California",0.00,0.00
"Calipatria,California",10.13,4.93
"Calistoga,California",11.62,4.14
"Campbell,California",20.53,5.17
"Pine Valley,California",74.27,149.73
"Moraga,California",29.1,15.9
"Canoga Park,California",0.77,0.08
"Canyon Country,California",60.05,15.44
"Moreno Valley,California",41.36,9.36
"Mission Viejo,California",14.76,4.47
"San Bruno,California",,
"Belmont,California",28.93,5.30
"Carlsbad,California",,
